PC_ID,Innate,Current,Maximum,derivative
1261,obedience,0.50,0.50,0.03
1261,pain tolerance,1.23,1.23,0.03
1261,perception,-0.08,-0.08,0.27
1261,reflex,1.77,1.77,0.10
1261,speed,-1.95,-1.95,0.08
1261,strength,0.58,0.58,0.12
1262,agility,2.06,2.06,0.23
1262,analytical reasoning,2.84,2.84,0.04
1262,bravery,-1.31,-1.31,0.31
1262,endurance,-0.19,-0.19,0.02
1262,honesty,0.79,0.79,0.10
1262,intuition,0.96,0.96,0.20
1262,loyalty,0.67,0.67,0.07
1262,memory,1.21,1.21,0.01
1262,obedience,-0.44,-0.44,0.14
1262,pain tolerance,1.03,1.03,0.19
1262,perception,-0.99,-0.99,0.12
1262,reflex,-1.29,-1.29,0.05
1262,speed,1.47,1.47,0.13
1262,strength,1.96,1.96,0.04
1263,agility,0.77,0.77,0.06
1263,analytical reasoning,0.39,0.39,0.01
1263,bravery,0.46,0.46,0.16
1263,endurance,-0.37,-0.37,0.05
1263,honesty,1.48,1.48,0.04
1263,intuition,-1.02,-1.02,0.66
1263,loyalty,-0.19,-0.19,0.16
1263,memory,-1.37,-1.37,0.01
1263,obedience,1.82,1.82,0.12
1263,pain tolerance,0.29,0.29,0.05
1263,perception,1.09,1.09,0.11
1263,reflex,1.09,1.09,0.06
1263,speed,1.52,1.52,0.72
1263,strength,1.44,1.44,0.02
1264,agility,1.67,1.67,0.01
1264,analytical reasoning,1.07,1.07,0.07
1264,bravery,0.38,0.38,0.10
1264,endurance,0.81,0.81,0.23
1264,honesty,0.78,0.78,0.47
1264,intuition,0.98,0.98,0.12
1264,loyalty,-0.95,-0.95,0.06
1264,memory,-0.21,-0.21,0.46
1264,obedience,-0.26,-0.26,0.07
1264,pain tolerance,-0.65,-0.65,0.17
1264,perception,0.73,0.73,0.74
1264,reflex,0.54,0.54,0.01
1264,speed,1.51,1.51,0.28
1264,strength,-0.04,-0.04,0.21
1265,agility,1.23,1.23,0.21
1265,analytical reasoning,0.71,0.71,0.04
1265,bravery,0.75,0.75,0.06
1265,endurance,0.50,0.50,0.42
1265,honesty,0.01,0.01,0.17
1265,intuition,-1.52,-1.52,0.30
1265,loyalty,-0.64,-0.64,0.01
1265,memory,0.49,0.49,0.10
1265,obedience,1.58,1.58,0.10
1265,pain tolerance,0.19,0.19,0.52
1265,perception,-0.51,-0.51,0.25
1265,reflex,0.15,0.15,0.08
1265,speed,-0.20,-0.20,0.15
1265,strength,0.76,0.76,0.05
1266,agility,4.03,4.03,0.17
1266,analytical reasoning,2.35,2.35,0.32
1266,bravery,0.29,0.29,0.17
1266,endurance,0.09,0.09,0.04
1266,honesty,1.11,1.11,0.18
1266,intuition,1.48,1.48,0.04
1266,loyalty,0.88,0.88,0.05
1266,memory,1.37,1.37,0.06
1266,obedience,0.25,0.25,0.03
1266,pain tolerance,-0.12,-0.12,0.01
1266,perception,0.63,0.63,0.11
1266,reflex,-0.61,-0.61,0.05
1266,speed,0.64,0.64,0.09
1266,strength,0.35,0.35,0.01
1267,agility,0.25,0.25,0.05
1267,analytical reasoning,-0.14,-0.14,0.02
1267,bravery,-1.19,-1.19,0.09
1267,endurance,-1.50,-1.50,0.13
1267,honesty,-0.03,-0.03,0.10
1267,intuition,-0.68,-0.68,0.03
1267,loyalty,-0.37,-0.37,0.05
1267,memory,1.26,1.26,0.10
1267,obedience,-0.45,-0.45,0.21
1267,pain tolerance,-0.37,-0.37,0.24
1267,perception,-0.09,-0.09,0.03
1267,reflex,0.73,0.73,0.02
1267,speed,-0.66,-0.66,0.12
1267,strength,1.02,1.02,0.13
1268,agility,0.79,0.79,0.09
1268,analytical reasoning,-0.94,-0.94,0.06
1268,bravery,0.32,0.32,0.01
1268,endurance,0.43,0.43,0.09
1268,honesty,0.98,0.98,0.06
1268,intuition,1.28,1.28,0.26
1268,loyalty,-0.45,-0.45,0.01
1268,memory,-0.67,-0.67,0.05
1268,obedience,-1.05,-1.05,0.12
1268,pain tolerance,-0.94,-0.94,0.25
1268,perception,0.47,0.47,0.62
1268,reflex,1.62,1.62,0.18
1268,speed,2.13,2.13,0.12
1268,strength,1.38,1.38,0.08
1269,agility,0.35,0.35,0.05
1269,analytical reasoning,0.43,0.43,0.04
1269,bravery,-1.29,-1.29,0.03
1269,endurance,0.28,0.28,0.18
1269,honesty,-0.12,-0.12,0.04
1269,intuition,0.34,0.34,0.19
1269,loyalty,-0.26,-0.26,0.28
1269,memory,-0.24,-0.24,0.06
1269,obedience,2.70,2.70,0.03
1269,pain tolerance,0.14,0.14,0.01
1269,perception,0.29,0.29,0.66
1269,reflex,-0.03,-0.03,0.01
1269,speed,1.34,1.34,0.11
1269,strength,0.73,0.73,0.02
1270,agility,1.41,1.41,0.07
1270,analytical reasoning,-0.02,-0.02,0.02
1270,bravery,1.58,1.58,0.12
1270,endurance,1.74,1.74,0.08
1270,honesty,-0.47,-0.47,0.07
1270,intuition,0.23,0.23,0.01
1270,loyalty,1.39,1.39,0.11
1270,memory,1.77,1.77,0.24
1270,obedience,1.01,1.01,0.03
1270,pain tolerance,-1.10,-1.10,0.26
1270,perception,0.79,0.79,0.17
1270,reflex,1.91,1.91,0.20
1270,speed,-0.45,-0.45,0.18
1270,strength,-0.17,-0.17,0.22
1271,agility,1.35,1.35,0.13
1271,analytical reasoning,-0.43,-0.43,0.37
1271,bravery,1.47,1.47,0.04
1271,endurance,-0.71,-0.71,0.03
1271,honesty,1.00,1.00,0.01
1271,intuition,1.15,1.15,0.47
1271,loyalty,1.12,1.12,0.35
1271,memory,-1.11,-1.11,0.39
1271,obedience,1.55,1.55,0.25
1271,pain tolerance,-1.26,-1.26,0.38
1271,perception,-0.53,-0.53,0.06
1271,reflex,-1.13,-1.13,0.05
1271,speed,2.49,2.49,0.09
1271,strength,-0.72,-0.72,0.14
1272,agility,1.69,1.69,0.28
1272,analytical reasoning,-0.87,-0.87,0.02
1272,bravery,0.46,0.46,0.11
1272,endurance,0.57,0.57,0.05
1272,honesty,-0.95,-0.95,0.15
1272,intuition,0.13,0.13,0.05
1272,loyalty,2.53,2.53,0.09
1272,memory,0.05,0.05,0.01
1272,obedience,0.83,0.83,0.52
1272,pain tolerance,0.41,0.41,0.16
1272,perception,0.01,0.01,0.22
1272,reflex,-0.39,-0.39,0.54
1272,speed,2.50,2.50,0.02
1272,strength,2.11,2.11,0.07
1273,agility,-0.16,-0.16,0.34
1273,analytical reasoning,0.30,0.30,0.03
1273,bravery,0.59,0.59,0.09
1273,endurance,1.88,1.88,0.01
1273,honesty,0.88,0.88,0.10
1273,intuition,1.42,1.42,0.36
1273,loyalty,1.44,1.44,0.07
1273,memory,1.07,1.07,0.33
1273,obedience,-0.85,-0.85,0.09
1273,pain tolerance,0.66,0.66,0.09
1273,perception,0.13,0.13,0.03
1273,reflex,0.86,0.86,0.06
1273,speed,-1.47,-1.47,0.01
1273,strength,-1.04,-1.04,0.11
1274,agility,0.99,0.99,0.18
1274,analytical reasoning,1.09,1.09,0.14
1274,bravery,0.62,0.62,0.55
1274,endurance,1.03,1.03,0.13
1274,honesty,0.66,0.66,0.04
1274,intuition,-0.64,-0.64,0.02
1274,loyalty,-0.14,-0.14,0.03
1274,memory,0.20,0.20,0.18
1274,obedience,-2.53,-2.53,0.06
1274,pain tolerance,-1.63,-1.63,0.12
1274,perception,0.76,0.76,0.13
1274,reflex,0.32,0.32,0.03
1274,speed,0.32,0.32,0.26
1274,strength,-1.77,-1.77,0.04
1275,agility,-0.49,-0.49,0.33
1275,analytical reasoning,-0.79,-0.79,0.81
1275,bravery,0.35,0.35,0.26
1275,endurance,0.54,0.54,0.22
1275,honesty,-0.47,-0.47,0.11
1275,intuition,-0.87,-0.87,0.12
1275,loyalty,-0.85,-0.85,0.28
1275,memory,-1.31,-1.31,0.19
1275,obedience,1.92,1.92,0.01
1275,pain tolerance,-1.51,-1.51,0.01
1275,perception,1.60,1.60,0.11
1275,reflex,-1.28,-1.28,0.24
1275,speed,0.89,0.89,0.17
1275,strength,1.54,1.54,0.17
1276,agility,0.51,0.51,0.03
1276,analytical reasoning,-0.91,-0.91,0.05
1276,bravery,0.41,0.41,0.10
1276,endurance,0.36,0.36,0.13
1276,honesty,1.18,1.18,0.22
1276,intuition,0.95,0.95,0.01
1276,loyalty,0.52,0.52,0.28
1276,memory,-0.58,-0.58,0.08
1276,obedience,1.98,1.98,0.25
1276,pain tolerance,-0.13,-0.13,0.01
1276,perception,0.29,0.29,0.21
1276,reflex,0.14,0.14,0.04
1276,speed,0.91,0.91,0.32
1276,strength,0.72,0.72,0.20
1277,agility,0.98,0.98,0.01
1277,analytical reasoning,1.17,1.17,0.04
1277,bravery,-0.21,-0.21,0.01
1277,endurance,-1.41,-1.41,0.15
1277,honesty,-0.48,-0.48,0.04
1277,intuition,0.98,0.98,0.14
1277,loyalty,1.67,1.67,0.05
1277,memory,-0.01,-0.01,0.13
1277,obedience,1.70,1.70,0.12
1277,pain tolerance,0.88,0.88,0.40
1277,perception,0.18,0.18,0.01
1277,reflex,1.29,1.29,0.05
1277,speed,1.57,1.57,0.12
1277,strength,-0.15,-0.15,0.01
1278,agility,0.75,0.75,0.43
1278,analytical reasoning,-0.70,-0.70,0.01
1278,bravery,0.37,0.37,0.12
1278,endurance,1.10,1.10,0.08
1278,honesty,-0.42,-0.42,0.21
1278,intuition,-0.57,-0.57,0.14
1278,loyalty,0.83,0.83,0.07
1278,memory,-0.83,-0.83,0.20
1278,obedience,0.65,0.65,0.03
1278,pain tolerance,0.30,0.30,0.25
1278,perception,-1.03,-1.03,0.14
1278,reflex,0.21,0.21,0.14
1278,speed,0.63,0.63,0.14
1278,strength,0.06,0.06,0.01
1279,agility,-0.51,-0.51,0.10
1279,analytical reasoning,-1.74,-1.74,0.07
1279,bravery,-0.12,-0.12,0.06
1279,endurance,-0.70,-0.70,0.14
1279,honesty,0.11,0.11,0.04
1279,intuition,-0.16,-0.16,0.04
1279,loyalty,0.59,0.59,0.05
1279,memory,1.61,1.61,0.07
1279,obedience,0.76,0.76,0.23
1279,pain tolerance,1.53,1.53,0.11
1279,perception,1.10,1.10,0.12
1279,reflex,1.41,1.41,0.19
1279,speed,1.55,1.55,0.08
1279,strength,0.44,0.44,0.04
1280,agility,0.08,0.08,0.18
1280,analytical reasoning,-1.04,-1.04,0.22
1280,bravery,0.66,0.66,0.16
1280,endurance,0.77,0.77,0.26
1280,honesty,-0.32,-0.32,0.27
1280,intuition,0.01,0.01,0.18
1280,loyalty,0.29,0.29,0.50
1280,memory,-0.92,-0.92,0.04
1280,obedience,-0.74,-0.74,0.07
1280,pain tolerance,-0.13,-0.13,0.01
1280,perception,-0.45,-0.45,0.19
1280,reflex,-0.53,-0.53,0.10
1280,speed,1.98,1.98,0.05
1280,strength,0.21,0.21,0.01
1281,agility,0.69,0.69,0.27
1281,analytical reasoning,-0.08,-0.08,0.18
1281,bravery,0.40,0.40,0.08
1281,endurance,0.36,0.36,0.10
1281,honesty,-0.74,-0.74,0.01
1281,intuition,0.99,0.99,0.17
1281,loyalty,0.01,0.01,0.06
1281,memory,1.55,1.55,0.12
1281,obedience,1.05,1.05,0.01
1281,pain tolerance,0.26,0.26,0.30
1281,perception,1.20,1.20,0.16
1281,reflex,-0.01,-0.01,0.05
1281,speed,0.43,0.43,0.26
1281,strength,0.14,0.14,0.22
1282,agility,-0.21,-0.21,0.11
1282,analytical reasoning,0.67,0.67,0.03
1282,bravery,0.86,0.86,0.01
1282,endurance,1.04,1.04,0.13
1282,honesty,1.06,1.06,0.01
1282,intuition,1.09,1.09,0.12
1282,loyalty,-0.36,-0.36,0.28
1282,memory,-0.09,-0.09,0.03
1282,obedience,-1.37,-1.37,0.07
1282,pain tolerance,0.40,0.40,0.09
1282,perception,0.01,0.01,0.02
1282,reflex,-0.46,-0.46,0.09
1282,speed,1.39,1.39,0.26
1282,strength,0.83,0.83,0.15
1283,agility,-0.35,-0.35,0.03
1283,analytical reasoning,2.24,2.24,0.05
1283,bravery,-2.37,-2.37,0.02
1283,endurance,0.75,0.75,0.12
1283,honesty,0.01,0.01,0.52
1283,intuition,-0.60,-0.60,0.20
1283,loyalty,1.06,1.06,0.32
1283,memory,0.71,0.71,0.12
1283,obedience,-2.41,-2.41,0.08
1283,pain tolerance,0.61,0.61,0.45
1283,perception,2.22,2.22,0.01
1283,reflex,1.42,1.42,0.16
1283,speed,-0.70,-0.70,0.01
1283,strength,-0.69,-0.69,0.18
1284,agility,0.29,0.29,0.23
1284,analytical reasoning,-0.08,-0.08,0.06
1284,bravery,1.21,1.21,0.51
1284,endurance,0.57,0.57,0.02
1284,honesty,-0.42,-0.42,0.01
1284,intuition,0.39,0.39,0.03
1284,loyalty,0.66,0.66,0.05
1284,memory,0.53,0.53,0.13
1284,obedience,-0.43,-0.43,0.39
1284,pain tolerance,1.18,1.18,0.38
1284,perception,2.15,2.15,0.40
1284,reflex,0.86,0.86,0.07
1284,speed,-1.13,-1.13,0.22
1284,strength,0.71,0.71,0.03
1285,agility,-0.54,-0.54,0.04
1285,analytical reasoning,-1.18,-1.18,0.06
1285,bravery,-0.47,-0.47,0.07
1285,endurance,-0.01,-0.01,0.14
1285,honesty,0.12,0.12,0.08
1285,intuition,0.52,0.52,0.24
1285,loyalty,-1.54,-1.54,0.05
1285,memory,-1.35,-1.35,0.16
1285,obedience,-0.59,-0.59,0.01
1285,pain tolerance,0.55,0.55,0.03
1285,perception,-0.26,-0.26,0.05
1285,reflex,-0.10,-0.10,0.08
1285,speed,2.22,2.22,0.03
1285,strength,-0.08,-0.08,0.92
1286,agility,0.33,0.33,0.12
1286,analytical reasoning,-1.57,-1.57,0.50
1286,bravery,2.02,2.02,0.13
1286,endurance,1.06,1.06,0.23
1286,honesty,-0.07,-0.07,0.18
1286,intuition,-1.63,-1.63,0.16
1286,loyalty,1.06,1.06,0.06
1286,memory,0.46,0.46,0.11
1286,obedience,-0.76,-0.76,0.06
1286,pain tolerance,-0.02,-0.02,0.05
1286,perception,0.99,0.99,0.02
1286,reflex,0.86,0.86,0.14
1286,speed,-0.06,-0.06,0.42
1286,strength,-0.84,-0.84,0.27
1287,agility,0.18,0.18,0.09
1287,analytical reasoning,-0.03,-0.03,0.12
1287,bravery,0.65,0.65,0.45
1287,endurance,0.30,0.30,0.14
1287,honesty,-0.52,-0.52,0.06
1287,intuition,0.47,0.47,0.22
1287,loyalty,0.39,0.39,0.24
1287,memory,-0.40,-0.40,0.01
1287,obedience,-1.03,-1.03,0.01
1287,pain tolerance,0.50,0.50,0.10
1287,perception,0.64,0.64,0.01
1287,reflex,-0.86,-0.86,0.02
1287,speed,-0.37,-0.37,0.02
1287,strength,0.55,0.55,0.01
1288,agility,0.02,0.02,0.15
1288,analytical reasoning,-2.06,-2.06,0.03
1288,bravery,0.61,0.61,0.07
1288,endurance,1.37,1.37,0.02
1288,honesty,-0.74,-0.74,0.08
1288,intuition,0.55,0.55,0.01
1288,loyalty,-0.28,-0.28,0.18
1288,memory,0.66,0.66,0.27
1288,obedience,0.34,0.34,0.10
1288,pain tolerance,-1.46,-1.46,0.20
1288,perception,0.78,0.78,0.30
1288,reflex,0.52,0.52,0.27
1288,speed,-1.89,-1.89,0.10
1288,strength,1.26,1.26,0.18
1289,agility,0.98,0.98,0.01
1289,analytical reasoning,1.02,1.02,0.13
1289,bravery,0.30,0.30,0.30
1289,endurance,0.74,0.74,0.08
1289,honesty,-0.01,-0.01,0.34
1289,intuition,0.04,0.04,0.21
1289,loyalty,0.16,0.16,0.01
1289,memory,0.72,0.72,0.15
1289,obedience,-0.59,-0.59,0.12
1289,pain tolerance,0.94,0.94,0.51
1289,perception,-0.12,-0.12,0.05
1289,reflex,0.41,0.41,0.27
1289,speed,0.18,0.18,0.17
1289,strength,-1.48,-1.48,0.01
1290,agility,1.57,1.57,0.16
1290,analytical reasoning,0.36,0.36,0.19
1290,bravery,-0.12,-0.12,0.07
1290,endurance,1.05,1.05,0.14
1290,honesty,1.47,1.47,0.03
1290,intuition,0.77,0.77,0.01
1290,loyalty,-0.29,-0.29,0.26
1290,memory,-0.33,-0.33,0.04
1290,obedience,-0.59,-0.59,0.16
1290,pain tolerance,2.28,2.28,0.05
1290,perception,-0.06,-0.06,0.21
1290,reflex,-2.49,-2.49,0.69
1290,speed,1.29,1.29,0.43
1290,strength,0.12,0.12,0.14
1291,agility,0.27,0.27,0.04
1291,analytical reasoning,-0.18,-0.18,0.35
1291,bravery,1.40,1.40,0.03
1291,endurance,1.26,1.26,0.78
1291,honesty,1.74,1.74,0.02
1291,intuition,-1.14,-1.14,0.01
1291,loyalty,0.78,0.78,0.71
1291,memory,-0.33,-0.33,0.10
1291,obedience,0.53,0.53,0.13
1291,pain tolerance,1.50,1.50,0.01
1291,perception,-0.52,-0.52,0.42
1291,reflex,-1.01,-1.01,0.01
1291,speed,1.09,1.09,0.09
1291,strength,1.50,1.50,0.38
1292,agility,-1.28,-1.28,0.01
1292,analytical reasoning,-1.12,-1.12,0.01
1292,bravery,1.04,1.04,0.20
1292,endurance,0.50,0.50,0.05
1292,honesty,-0.43,-0.43,0.02
1292,intuition,1.34,1.34,0.01
1292,loyalty,-0.97,-0.97,0.01
1292,memory,-0.36,-0.36,0.06
1292,obedience,0.28,0.28,0.24
1292,pain tolerance,1.58,1.58,0.36
1292,perception,-0.43,-0.43,0.05
1292,reflex,-0.60,-0.60,0.21
1292,speed,0.08,0.08,0.10
1292,strength,-0.57,-0.57,0.05
1293,agility,-2.43,-2.43,0.01
1293,analytical reasoning,0.98,0.98,0.24
1293,bravery,-0.99,-0.99,0.32
1293,endurance,-0.61,-0.61,0.25
1293,honesty,1.00,1.00,0.07
1293,intuition,0.01,0.01,0.01
1293,loyalty,0.02,0.02,0.06
1293,memory,0.21,0.21,0.31
1293,obedience,1.33,1.33,0.13
1293,pain tolerance,0.73,0.73,0.53
1293,perception,1.33,1.33,0.18
1293,reflex,-0.08,-0.08,0.12
1293,speed,1.00,1.00,0.38
1293,strength,-1.32,-1.32,0.02
1294,agility,1.19,1.19,0.02
1294,analytical reasoning,1.16,1.16,0.13
1294,bravery,1.14,1.14,0.19
1294,endurance,1.26,1.26,0.06
1294,honesty,-1.60,-1.60,0.09
1294,intuition,-0.01,-0.01,0.08
1294,loyalty,1.68,1.68,0.13
1294,memory,-0.40,-0.40,0.36
1294,obedience,0.17,0.17,0.17
1294,pain tolerance,0.43,0.43,0.39
1294,perception,0.37,0.37,0.07
1294,reflex,0.34,0.34,0.22
1294,speed,0.33,0.33,0.24
1294,strength,-0.48,-0.48,0.01
1295,agility,1.65,1.65,0.14
1295,analytical reasoning,-0.59,-0.59,0.54
1295,bravery,0.54,0.54,0.01
1295,endurance,0.06,0.06,0.10
1295,honesty,2.29,2.29,0.18
1295,intuition,0.74,0.74,0.25
1295,loyalty,0.08,0.08,0.14
1295,memory,-0.90,-0.90,0.20
1295,obedience,-0.65,-0.65,0.12
1295,pain tolerance,0.52,0.52,0.13
1295,perception,0.02,0.02,0.21
1295,reflex,0.31,0.31,0.08
1295,speed,-1.37,-1.37,0.16
1295,strength,0.87,0.87,0.40
1296,agility,0.14,0.14,0.24
1296,analytical reasoning,0.46,0.46,0.11
1296,bravery,1.42,1.42,0.21
1296,endurance,0.11,0.11,0.01
1296,honesty,0.45,0.45,0.02
1296,intuition,1.41,1.41,0.22
1296,loyalty,0.71,0.71,0.28
1296,memory,-1.01,-1.01,0.03
1296,obedience,1.52,1.52,0.05
1296,pain tolerance,1.83,1.83,0.12
1296,perception,-0.40,-0.40,0.65
1296,reflex,2.66,2.66,0.10
1296,speed,-1.84,-1.84,0.06
1296,strength,0.38,0.38,0.01
1297,agility,1.74,1.74,0.20
1297,analytical reasoning,2.38,2.38,0.48
1297,bravery,1.73,1.73,0.15
1297,endurance,0.96,0.96,0.25
1297,honesty,2.50,2.50,0.40
1297,intuition,2.87,2.87,0.10
1297,loyalty,0.42,0.42,0.07
1297,memory,1.50,1.50,0.05
1297,obedience,1.27,1.27,0.11
1297,pain tolerance,1.58,1.58,0.32
1297,perception,2.36,2.36,0.50
1297,reflex,-0.93,-0.93,0.09
1297,speed,-1.28,-1.28,0.12
1297,strength,2.36,2.36,0.28
1298,agility,-0.29,-0.29,0.62
1298,analytical reasoning,-0.22,-0.22,0.01
1298,bravery,-0.01,-0.01,0.01
1298,endurance,1.52,1.52,0.14
1298,honesty,0.01,0.01,0.29
1298,intuition,0.49,0.49,0.04
1298,loyalty,-0.13,-0.13,0.35
1298,memory,0.63,0.63,0.11
1298,obedience,-0.10,-0.10,0.73
1298,pain tolerance,-0.41,-0.41,0.46
1298,perception,1.13,1.13,0.04
1298,reflex,-0.12,-0.12,0.18
1298,speed,-0.08,-0.08,0.09
1298,strength,1.16,1.16,0.01
1299,agility,-1.20,-1.20,0.08
1299,analytical reasoning,0.82,0.82,0.11
1299,bravery,1.49,1.49,0.29
1299,endurance,-0.03,-0.03,0.08
1299,honesty,0.54,0.54,0.04
1299,intuition,0.58,0.58,0.12
1299,loyalty,0.25,0.25,0.12
1299,memory,1.05,1.05,0.18
1299,obedience,0.83,0.83,0.07
1299,pain tolerance,0.68,0.68,0.11
1299,perception,-1.45,-1.45,0.12
1299,reflex,1.03,1.03,0.19
1299,speed,0.25,0.25,0.03
1299,strength,1.10,1.10,0.12
1300,agility,0.46,0.46,0.02
1300,analytical reasoning,0.85,0.85,0.20
1300,bravery,0.43,0.43,0.02
1300,endurance,-1.62,-1.62,0.11
1300,honesty,0.46,0.46,0.01
1300,intuition,0.57,0.57,0.07
1300,loyalty,0.85,0.85,0.06
1300,memory,1.24,1.24,0.05
1300,obedience,0.16,0.16,0.39
1300,pain tolerance,-0.20,-0.20,0.32
1300,perception,-1.46,-1.46,0.11
1300,reflex,2.19,2.19,0.25
1300,speed,-0.60,-0.60,0.06
1300,strength,-0.39,-0.39,0.01
1301,agility,0.05,0.05,0.28
1301,analytical reasoning,-0.34,-0.34,0.05
1301,bravery,-0.62,-0.62,0.20
1301,endurance,-0.22,-0.22,0.03
1301,honesty,2.36,2.36,0.24
1301,intuition,0.84,0.84,0.33
1301,loyalty,-0.27,-0.27,0.51
1301,memory,-0.32,-0.32,0.03
1301,obedience,-0.85,-0.85,0.05
1301,pain tolerance,1.20,1.20,0.17
1301,perception,1.78,1.78,0.05
1301,reflex,-0.78,-0.78,0.02
1301,speed,-0.16,-0.16,0.28
1301,strength,-0.27,-0.27,0.66
1302,agility,-2.22,-2.22,0.21
1302,analytical reasoning,0.99,0.99,0.29
1302,bravery,-1.47,-1.47,0.30
1302,endurance,0.70,0.70,0.21
1302,honesty,-1.93,-1.93,0.13
1302,intuition,-0.14,-0.14,0.13
1302,loyalty,0.40,0.40,0.01
1302,memory,0.77,0.77,0.01
1302,obedience,-0.28,-0.28,0.14
1302,pain tolerance,-0.48,-0.48,0.01
1302,perception,-0.05,-0.05,0.04
1302,reflex,1.43,1.43,0.10
1302,speed,-1.64,-1.64,0.12
1302,strength,-1.17,-1.17,0.11
1303,agility,0.94,0.94,0.26
1303,analytical reasoning,-0.27,-0.27,0.08
1303,bravery,0.91,0.91,0.14
1303,endurance,0.11,0.11,0.14
1303,honesty,1.80,1.80,0.04
1303,intuition,1.88,1.88,0.27
1303,loyalty,1.94,1.94,0.17
1303,memory,0.93,0.93,0.26
1303,obedience,1.64,1.64,0.24
1303,pain tolerance,0.92,0.92,0.05
1303,perception,0.96,0.96,0.16
1303,reflex,0.04,0.04,0.65
1303,speed,1.08,1.08,0.05
1303,strength,-2.35,-2.35,0.09
1304,agility,2.19,2.19,0.36
1304,analytical reasoning,0.74,0.74,0.15
1304,bravery,0.25,0.25,0.06
1304,endurance,0.66,0.66,0.05
1304,honesty,1.22,1.22,0.01
1304,intuition,2.06,2.06,0.27
1304,loyalty,0.32,0.32,0.13
1304,memory,0.02,0.02,0.06
1304,obedience,0.75,0.75,0.20
1304,pain tolerance,0.26,0.26,0.01
1304,perception,1.05,1.05,0.06
1304,reflex,-0.76,-0.76,0.43
1304,speed,-0.05,-0.05,0.14
1304,strength,-1.19,-1.19,0.08
1305,agility,-0.96,-0.96,0.33
1305,analytical reasoning,1.97,1.97,0.26
1305,bravery,0.71,0.71,0.08
1305,endurance,0.79,0.79,0.01
1305,honesty,2.67,2.67,0.72
1305,intuition,0.17,0.17,0.01
1305,loyalty,-0.44,-0.44,0.16
1305,memory,-0.25,-0.25,0.09
1305,obedience,0.35,0.35,0.01
1305,pain tolerance,-0.70,-0.70,0.02
1305,perception,-0.86,-0.86,0.28
1305,reflex,-1.11,-1.11,0.06
1305,speed,0.34,0.34,0.13
1305,strength,0.87,0.87,0.13
1306,agility,1.60,1.60,0.03
1306,analytical reasoning,1.17,1.17,0.03
1306,bravery,0.06,0.06,0.02
1306,endurance,0.09,0.09,0.11
1306,honesty,-0.70,-0.70,0.04
1306,intuition,0.36,0.36,0.02
1306,loyalty,1.57,1.57,0.45
1306,memory,0.46,0.46,0.59
1306,obedience,-0.13,-0.13,0.05
1306,pain tolerance,0.09,0.09,0.25
1306,perception,0.07,0.07,0.02
1306,reflex,0.83,0.83,0.37
1306,speed,0.13,0.13,0.66
1306,strength,-0.30,-0.30,0.48
1307,agility,-0.44,-0.44,0.09
1307,analytical reasoning,-0.21,-0.21,0.01
1307,bravery,0.09,0.09,0.03
1307,endurance,0.33,0.33,0.03
1307,honesty,-0.17,-0.17,0.06
1307,intuition,-0.74,-0.74,0.03
1307,loyalty,0.43,0.43,0.08
1307,memory,0.09,0.09,0.16
1307,obedience,0.90,0.90,0.12
1307,pain tolerance,1.38,1.38,0.10
1307,perception,-0.46,-0.46,0.02
1307,reflex,-0.83,-0.83,0.30
1307,speed,-0.94,-0.94,0.06
1307,strength,-1.41,-1.41,0.10
1308,agility,2.14,2.14,0.31
1308,analytical reasoning,1.73,1.73,0.12
1308,bravery,-1.13,-1.13,0.43
1308,endurance,0.59,0.59,0.16
1308,honesty,-0.61,-0.61,0.01
1308,intuition,-0.15,-0.15,0.22
1308,loyalty,-0.17,-0.17,0.01
1308,memory,-1.29,-1.29,0.02
1308,obedience,0.54,0.54,0.75
1308,pain tolerance,0.94,0.94,0.28
1308,perception,0.40,0.40,0.01
1308,reflex,-1.25,-1.25,0.01
1308,speed,0.30,0.30,0.11
1308,strength,2.88,2.88,0.13
1309,agility,0.49,0.49,0.04
1309,analytical reasoning,-1.30,-1.30,0.38
1309,bravery,0.96,0.96,0.10
1309,endurance,1.29,1.29,0.24
1309,honesty,-1.83,-1.83,0.03
1309,intuition,1.92,1.92,0.33
1309,loyalty,-2.13,-2.13,0.01
1309,memory,0.27,0.27,0.07
1309,obedience,1.67,1.67,0.07
1309,pain tolerance,0.40,0.40,0.16
1309,perception,-2.74,-2.74,0.29
1309,reflex,0.20,0.20,0.10
1309,speed,-1.00,-1.00,0.07
1309,strength,0.42,0.42,0.01
1310,agility,1.46,1.46,0.16
1310,analytical reasoning,-1.32,-1.32,0.01
1310,bravery,0.14,0.14,0.05
1310,endurance,0.70,0.70,0.15
1310,honesty,-1.15,-1.15,0.04
1310,intuition,0.35,0.35,0.28
1310,loyalty,0.54,0.54,0.89
1310,memory,0.70,0.70,0.13
1310,obedience,-0.99,-0.99,0.49
1310,pain tolerance,2.14,2.14,0.14
1310,perception,0.32,0.32,0.31
1310,reflex,1.77,1.77,0.10
1310,speed,-0.60,-0.60,0.26
1310,strength,0.34,0.34,0.08
1311,agility,-0.05,-0.05,0.06
1311,analytical reasoning,-0.01,-0.01,0.01
1311,bravery,-0.39,-0.39,0.11
1311,endurance,0.08,0.08,0.07
1311,honesty,-0.95,-0.95,0.04
1311,intuition,1.84,1.84,0.17
1311,loyalty,0.48,0.48,0.39
1311,memory,-0.85,-0.85,0.01
