"Town","county","Status"
"Skelmersdale","Lancashire","town council"
"Skelton-in-Cleveland","North Yorkshire","market charter"
"Skipton","North Yorkshire","town council1"
"Sleaford","Lincolnshire","town council1"
"Slough","Berkshire","borough (1838–1974)"
"Smethwick","West Midlands","borough (1899–1966)"
"Snaith and Cowick","East Riding of Yorkshire","town council"
"Snodland","Kent","town council"
"Soham","Cambridgeshire","town council"
"Solihull","West Midlands","borough (1954–1974)"
"Somerton","Somerset","town council"
"South Cave","East Riding of Yorkshire","market charter"
"South Elmsall","West Yorkshire","town council"
"South Kirkby and Moorthorpe","West Yorkshire","town council"
"South Molton","Devon","town council"
"South Petherton","Somerset","market charter"
"South Shields","Tyne and Wear","borough (1850–1974)"
"South Woodham Ferrers","Essex","town council"
"Southall","Greater London","borough (1936–1965)"
"Southam","Warwickshire","town council"
"Southborough","Kent","town council1"
"Southend-on-Sea","Essex","borough (1892–1974)"
"Southgate","Greater London","borough (1933–1965)"
"Southminster","Essex","market charter"
"Southport","Merseyside","borough (1866–1974)"
"Southsea","Hampshire","town council"
"Southwell","Nottinghamshire","town council"
"Southwick","Hampshire","market charter"
"Southwold","Suffolk","town council1"
"Spalding","Lincolnshire","town council"
"Speedwell","Bristol",
"Spennymoor","Durham","town council1"
"Spilsby","Lincolnshire","town council"
"Sproatley","Yorkshire",
"St Austell","Cornwall","town council"
"St Blaise","Cornwall","town council"
"St Columb Major","Cornwall","town council"
"St Helens","Merseyside","borough (1868–1974)"
"St Ives","Cambridgeshire","town council1"
"St Ives","Cornwall","town council1"
"St Just-in-Penwith","Cornwall","town council1"
"St Mary Cray","Greater London","market charter"
"St Mawes","Cornwall","market charter"
"St Neots","Cambridgeshire","town council1"
"Stafford","Staffordshire","borough (1835–1974)"
"Staines-upon-Thames","Surrey","market charter"
"Stainforth","South Yorkshire","town council"
"Stalbridge","Dorset","town council"
"Stalham","Norfolk","market charter"
"Stalybridge","Greater Manchester","borough (1857–1974)"
"Stamford","Lincolnshire","town council1"
"Stanhope","Durham","market charter"
"Stanley","Durham","town council"
"Stapleford","Nottinghamshire","town council"
"Staveley","Derbyshire","town council1"
"Stevenage","Hertfordshire","market charter"
"Steyning","West Sussex","market charter"
"Stockport","Greater Manchester","borough (1835–1974)"
"Stocksbridge","South Yorkshire","town council1"
"Stockton-on-Tees","Durham","borough (1835–1967)"
"Stone","Staffordshire","town council1"
"Stonehouse","Gloucestershire","town council"
"Stony Stratford","Buckinghamshire","town council"
"Stotfold","Bedfordshire","town council"
"Stourbridge","West Midlands","borough (1914–1974)"
"Stourport-on-Severn","Worcestershire","town council1"
"Stowmarket","Suffolk","town council1"
"Stow-on-the-Wold","Gloucestershire","town council"
"Stratford-upon-Avon","Warwickshire","town council1"
"Stretford","Greater Manchester","borough (1933–1974)"
"Strood","Kent","market charter"
"Stroud","Gloucestershire","town council"
"Sturminster Newton","Dorset","town council"
"Sudbury","Suffolk","town council1"
"Surbiton","Greater London","borough (1936–1965)"
"Sutton","Greater London","borough (1934-1965)"
"Sutton Coldfield","West Midlands","market charter"
"Swaffham","Norfolk","town council1"
"Swanage","Dorset","town council1"
"Swanley","Kent","town council"
"Swanscombe and Greenhithe","Kent","town council1"
"Swindon","Wiltshire","borough (1900–1974)"
"Swinton","Yorkshire",
"Syston","Leicestershire","town council"
"Tadcaster","North Yorkshire","town council"
"Tadley","Hampshire","town council"
"Tamworth","Staffordshire","borough (1835–1974)"
"Taunton","Somerset","borough (1885–1974)"
"Tavistock","Devon","town council"
"Teignmouth","Devon","town council1"
"Telscombe","East Sussex","town council"
"Tenbury Wells","Worcestershire","town council"
"Tenterden","Kent","town council1"
"Tetbury","Gloucestershire","town council"
"Tewkesbury","Gloucestershire","town council1"
"Thame","Oxfordshire","town council1"
"Thatcham","Berkshire","town council"
"Thaxted","Essex","market charter"
"Thetford","Norfolk","town council1"
"Thirsk","North Yorkshire","town council"
"Thornaby-on-Tees","North Yorkshire","town council"
"Thornbury","Gloucestershire","town council"
"Thorne","South Yorkshire","town council"
"Thorpe St Andrew","Norfolk","town council"
"Thrapston","Northamptonshire","town council"
"Tickhill","South Yorkshire","town council1"
"Tidworth","Wiltshire","town council"
"Tipton","West Midlands","borough (1938–1966)"
"Tisbury","Wiltshire","town council"
"Tiverton","Devon","town council1"
"Todmorden","West Yorkshire","town council1"
"Tonbridge","Kent","market charter"
"Topsham","Devon","market charter"
"Torpoint","Devon","town council1"
"Torquay","Devon","borough (1892–1974)"
"Totnes","Devon","town council1"
"Tottenham","Greater London","borough (1934–1965)"
"Totton and Eling","Hampshire","town council"
"Tow Law","Durham","town council1"
"Towcester","Northamptonshire","town council"
"Tring","Hertfordshire","town council1"
"Trowbridge","Wiltshire","town council1"
"Twickenham","Greater London","borough (1926–1965)"
"Tynemouth","Tyne and Wear","borough (1849–1974)"
"Uckerby","Yorkshire",
"Uckfield","East Sussex","town council"
"Ulverston","Cumbria","town council1"
"Uppingham","Rutland","town council"
"Upton-upon-Severn","Worcestershire","town council"
"Uttoxeter","Staffordshire","town council1"
"Uxbridge","Greater London","borough (1955–1965)"
"Vale of Pickering","Yorkshire",
"Ventnor","Isle of Wight","town council1"
"Verwood","Dorset","town council"
"Wadebridge","Cornwall","town council"
"Wadhurst","East Sussex","market charter"
"Wainfleet All Saints","Lincolnshire","town council"
"Wallasey","Merseyside","borough (1910–1974)"
"Wallingford","Oxfordshire","town council1"
"Wallsend","Tyne and Wear","borough (1901–1974)"
"Walsall","West Midlands","borough (1835–1974)"
"Waltham Abbey","Essex","town council1"
"Waltham Cross","Hertfordshire","market charter"
"Walthamstow","Greater London","borough (1926–1965)"
"Walton-on-Thames","Surrey","market charter"
"Wantage","Oxfordshire","town council1"
"Ware","Hertfordshire","town council1"
"Wareham","Dorset","town council1"
"Warminster","Wiltshire","town council1"
"Warrington","Cheshire","borough (1847–1974)"
"Warwick","Warwickshire","town council1"
"Watchet","Somerset","town council1"
"Watford","Hertfordshire","borough (1922–1974)"
"Wath-upon-Dearne","South Yorkshire","market charter"
"Watlington","Oxfordshire","market charter"
"Watton","Norfolk","town council"
"Wellingborough","Northamptonshire","market charter"
"Wellington","Shropshire","town council"
"Wellington","Somerset","town council1"
"Wells-next-the-Sea","Norfolk","town council1"
"Wem","Shropshire","town council"
"Wembley","Greater London","borough (1937–1965)"
"Wendover","Buckinghamshire","market charter"
"West Bedlington","Northumberland","town council"
"West Bromwich","West Midlands","borough (1882–1974)"
"West Ham","Greater London","borough (1886–1965)"
"West Malling","Kent","market charter"
"West Mersea","Essex","town council1"
"West Tilbury","Essex","market charter"
"Westbury","Wiltshire","town council1"
"Westerham","Kent","market charter"
"Westhoughton","Greater Manchester","town council"
"Weston-super-Mare","Somerset","town council"
"Wetherby","West Yorkshire","town council"
"Weybridge","Surrey","market charter"
"Weymouth","Dorset","town council"
"Whaley Bridge","Derbyshire","town council1"
"Whitby","North Yorkshire","town council1"
"Whitchurch","Hampshire","town council"
"Whitchurch","Shropshire","town council"
"Whitehaven","Cumbria","borough (1894–1974)"
"Whitehill","Hampshire","town council"
"Whitnash","Warwickshire","town council"
"Whittlesey","Cambridgeshire","town council"
"Whitworth","Lancashire","town council1"
"Wickham","Hampshire","market charter"
"Wickwar","Gloucestershire","market charter"
"Widnes","Cheshire","borough (1892–1974)"
"Wigan","Greater Manchester","borough (1835–1974)"
"Wigton","Cumbria","town council"
"Willenhall","West Midlands","market charter"
"Willesden","Greater London","borough (1933–1965)"
"Wilton","Wiltshire","town council1"
"Wimbledon","Greater London","borough (1905–1965)"
"Wimborne Minster","Dorset","town council1"
"Wincanton","Somerset","town council"
"Winchcombe","Gloucestershire","town council"
"Winchelsea","East Sussex","market charter"
"Windermere","Cumbria","town council1"
"Windsor","Berkshire","borough (1835–1974)"
"Winsford","Cheshire","town council1"
"Winslow","Buckinghamshire","town council"
"Winterton","Lincolnshire","town council"
"Wirksworth","Derbyshire","town council1"
"Wisbech","Cambridgeshire","town council1"
"Witham","Essex","town council"
"Withernsea","East Riding of Yorkshire","town council"
"Witney","Oxfordshire","town council1"
"Wiveliscombe","Somerset","town council"
"Wivenhoe","Essex","town council1"
"Woburn","Bedfordshire","market charter"
"Woburn Sands","Buckinghamshire","town council"
"Woking","Surrey","market charter"
"Wokingham","Berkshire","town council1"
"Wolsingham","Durham","market charter"
"Wolverton and Greenleys","Buckinghamshire","town council"
"Wood Green","Greater London","borough (1933–1965)"
"Woodbridge","Suffolk","town council1"
"Woodley","Berkshire","town council"
"Woodstock","Oxfordshire","town council1"
"Wooler","Northumberland","market charter"
"Workington","Cumbria","town council"
"Worksop","Nottinghamshire","charter trustees"
"Worthing","West Sussex","borough (1890–1974)"
"Worton","Yorkshire",
"Wotton-under-Edge","Gloucestershire","town council"
"Wragby","Lincolnshire","town council"
"Wymondham","Norfolk","town council1"
"Yarm","North Yorkshire","town council"
"Yarmouth","Isle of Wight","town council"
"Yate","Bristol",
"Yate","Gloucestershire","town council"
"Yateley","Hampshire","town council"
"Yeovil","Somerset","town council"
